participant,file,passage_raw_any-disfluency_count,passage_perWord_any-disfluency_count,passage_perSyllable_any-disfluency_count,passage_raw_correction-syll_count,passage_perWord_correction-syll_count,passage_perSyllable_correction-syll_count,passage_raw_any-error_count,passage_perWord_any-error_count,passage_perSyllable_any-error_count,phrase,phrase_passage_count,actualPhrase,phrase_raw_any-disfluency_count,phrase_perWord_any-disfluency_count,phrase_perSyllable_any-disfluency_count,phrase_raw_correction-syll_count,phrase_perWord_correction-syll_count,phrase_perSyllable_correction-syll_count,phrase_raw_any-error_count,phrase_perWord_any-error_count,phrase_perSyllable_any-error_count,actualExtendedPhrase,withinFiveSylls_raw_any-disfluency_count,withinFiveSylls_perWord_any-disfluency_count,withinFiveSylls_perSyllable_any-disfluency_count,withinFiveSylls_raw_correction-syll_count,withinFiveSylls_perWord_correction-syll_count,withinFiveSylls_perSyllable_correction-syll_count,withinFiveSylls_raw_any-error_count,withinFiveSylls_perWord_any-error_count,withinFiveSylls_perSyllable_any-error_count
sub-3300001,finches_11g_all-cols.csv,11,0.061452513966480445,0.03470031545741325,33,0.18435754189944134,0.10410094637223975,39,0.21787709497206703,0.12302839116719243,resilience,1,resilience resilience resilience,0,0.0,0.0,3,3.0,1.0,2,2.0,0.6666666666666666,adaptation adaptation adaptation adaptation and resilience resilience resilience in the wild,0,0.0,0.0,7,1.1666666666666667,0.6363636363636364,6,1.0,0.5454545454545454
sub-3300001,oak_11g_all-cols.csv,15,0.078125,0.046875,33,0.171875,0.103125,73,0.3802083333333333,0.228125,resilience,2,resilience resilience resilience,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,forest manifesting manifesting manifesting manifesting resilience resilience resilience and strength these trees are,1,0.125,0.07692307692307693,0,0.0,0.0,0,0.0,0.0
sub-3300001,oak_11g_all-cols.csv,15,0.078125,0.046875,33,0.171875,0.103125,73,0.3802083333333333,0.228125,resilience,2,resilience resilience resilience,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,testament testament testament to the resilience resilience resilience of nature nature the roots,1,0.125,0.07692307692307693,0,0.0,0.0,0,0.0,0.0
sub-3300001,giraffe_11g_all-cols.csv,12,0.06091370558375635,0.03468208092485549,8,0.04060913705583756,0.023121387283236993,27,0.13705583756345177,0.07803468208092486,resilience,1,resilience resilience resilience,1,1.0,0.3333333333333333,0,0.0,0.0,0,0.0,0.0,combination combination of grace and resilience resilience resilience that truly truly underscores underscores,1,0.125,0.07692307692307693,0,0.0,0.0,0,0.0,0.0
sub-3300001,sandals_11g_all-cols.csv,8,0.04081632653061224,0.02318840579710145,17,0.08673469387755102,0.04927536231884058,105,0.5357142857142857,0.30434782608695654,resilience,1,resilience resilience resilience,1,1.0,0.3333333333333333,3,3.0,1.0,2,2.0,0.6666666666666666,experience experience both ease and resilience resilience resilience but these light shoes are,1,0.1,0.07692307692307693,4,0.4,0.3076923076923077,2,0.2,0.15384615384615385
sub-3300001,raspberries_11g_all-cols.csv,16,0.08376963350785341,0.0469208211143695,31,0.16230366492146597,0.09090909090909091,51,0.2670157068062827,0.1495601173020528,however,1,however however however,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,versatility remains remains unmatched unmatched however however however they do not only only,1,0.125,0.07692307692307693,0,0.0,0.0,1,0.125,0.07692307692307693
sub-3300001,sparrows_11g_all-cols.csv,14,0.07567567567567568,0.04229607250755287,34,0.1837837837837838,0.1027190332326284,41,0.22162162162162163,0.12386706948640483,however,1,however however however,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,always be colorful colorful colorful however however however they will frequently frequently frequently,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
sub-3300001,elephant_11g_all-cols.csv,14,0.0707070707070707,0.04046242774566474,31,0.15656565656565657,0.08959537572254335,37,0.18686868686868688,0.1069364161849711,however,1,however however however,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,with their grand stature stature however however however elephants elephants elephants manifest manifest,1,0.14285714285714285,0.07692307692307693,0,0.0,0.0,1,0.14285714285714285,0.07692307692307693
sub-3300001,giraffe_11g_all-cols.csv,12,0.06091370558375635,0.03468208092485549,8,0.04060913705583756,0.023121387283236993,27,0.13705583756345177,0.07803468208092486,however,1,however however however,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,impressive speeds in brief sprints however however however this quietude quietude quietude should,0,0.0,0.0,4,0.4444444444444444,0.3076923076923077,2,0.2222222222222222,0.15384615384615385
sub-3300001,pens_11g_all-cols.csv,6,0.032432432432432434,0.01875,22,0.11891891891891893,0.06875,30,0.16216216216216217,0.09375,however,1,however however however,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,ready for future future notes however however however the pen's function function goes,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
sub-3300001,pencils_11g_all-cols.csv,14,0.07329842931937172,0.04294478527607362,37,0.193717277486911,0.11349693251533742,35,0.18324607329842932,0.10736196319018405,however,1,however however however,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,for future future scribbles scribbles however however however the pencil's pencil's utility utility,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
sub-3300001,boots_11g_all-cols.csv,11,0.055,0.03125,5,0.025,0.014204545454545454,43,0.215,0.12215909090909091,furthermore,1,furthermore furthermore furthermore,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,amplify amplify their appeal appeal furthermore furthermore furthermore their adaptability adaptability adaptability adaptability,0,0.0,0.0,0,0.0,0.0,1,0.16666666666666666,0.07692307692307693
sub-3300001,pencils_11g_all-cols.csv,14,0.07329842931937172,0.04294478527607362,37,0.193717277486911,0.11349693251533742,35,0.18324607329842932,0.10736196319018405,furthermore,1,furthermore furthermore furthermore,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,tool is staggering staggering staggering furthermore furthermore furthermore the eraser eraser eraser often,0,0.0,0.0,4,0.5714285714285714,0.3076923076923077,3,0.42857142857142855,0.23076923076923078
sub-3300001,trucks_11g_all-cols.csv,19,0.0979381443298969,0.055232558139534885,28,0.14432989690721648,0.08139534883720931,42,0.21649484536082475,0.12209302325581395,endurance,1,endurance endurance endurance,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,embody embody both strength and endurance endurance endurance covering covering covering vast distances,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
sub-3300002,cupcakes_11g_all-cols.csv,16,0.08,0.0440771349862259,14,0.07,0.03856749311294766,11,0.055,0.030303030303030304,flavor,3,flavors flavors,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,with their intricate intricate intricate flavors flavors and nuances nuances nuances an,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
sub-3300002,cupcakes_11g_all-cols.csv,16,0.08,0.0440771349862259,14,0.07,0.03856749311294766,11,0.055,0.030303030303030304,flavor,3,flavors flavors,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wealth of possible possible possible flavors flavors and ingredient ingredient ingredient ingredient,1,0.16666666666666666,0.08333333333333333,0,0.0,0.0,1,0.16666666666666666,0.08333333333333333
sub-3300002,cupcakes_11g_all-cols.csv,16,0.08,0.0440771349862259,14,0.07,0.03856749311294766,11,0.055,0.030303030303030304,flavor,3,flavors flavors,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,harmonious harmonious harmonious play of flavors flavors and feels in a cupcake,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
sub-3300002,blackberries_11g_all-cols.csv,9,0.05142857142857143,0.02857142857142857,11,0.06285714285714286,0.03492063492063492,10,0.05714285714285714,0.031746031746031744,flavor,1,flavor flavor,1,1.0,0.5,2,2.0,1.0,1,1.0,0.5,blackberries blackberries enrich enrich the flavor flavor profile profile profile from lavish,1,0.14285714285714285,0.08333333333333333,3,0.42857142857142855,0.25,1,0.14285714285714285,0.08333333333333333
sub-3300002,muffins_11g_all-cols.csv,7,0.033816425120772944,0.018518518518518517,24,0.11594202898550725,0.06349206349206349,20,0.0966183574879227,0.05291005291005291,flavor,4,flavors flavors,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,discerning palates palates with their flavors flavors and textures textures a subtly,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
sub-3300002,muffins_11g_all-cols.csv,7,0.033816425120772944,0.018518518518518517,24,0.11594202898550725,0.06349206349206349,20,0.0966183574879227,0.05291005291005291,flavor,4,flavor flavor,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,alone the potential potential potential flavor flavor combinations combinations combinations combinations and,0,0.0,0.0,3,0.5,0.25,1,0.16666666666666666,0.08333333333333333
sub-3300002,muffins_11g_all-cols.csv,7,0.033816425120772944,0.018518518518518517,24,0.11594202898550725,0.06349206349206349,20,0.0966183574879227,0.05291005291005291,flavor,4,flavor flavor,0,0.0,0.0,2,2.0,1.0,2,2.0,1.0,experience enhancing enhancing enhancing the flavor flavor complexity complexity complexity complexity and,0,0.0,0.0,3,0.5,0.25,2,0.3333333333333333,0.16666666666666666
