participant,passageName,recalled,errorCount,disfluencyCount,errorsPerSyllable,disfluenciesPerSyllable,errorsPerWord,disfluenciesPerWord
sub-3300001,raspberries_11g_all-cols,1,51,16,0.1495601173020528,0.0469208211143695,0.2670157068062827,0.08376963350785341
sub-3300001,boots_11g_all-cols,0,43,11,0.12215909090909091,0.03125,0.215,0.055
sub-3300001,finches_11g_all-cols,0,39,11,0.12302839116719243,0.03470031545741325,0.21787709497206703,0.061452513966480445
sub-3300001,sparrows_11g_all-cols,0,41,14,0.12386706948640483,0.04229607250755287,0.22162162162162163,0.07567567567567568
sub-3300001,elephant_11g_all-cols,1,37,14,0.1069364161849711,0.04046242774566474,0.18686868686868688,0.0707070707070707
sub-3300001,oak_11g_all-cols,1,73,15,0.228125,0.046875,0.3802083333333333,0.078125
sub-3300001,giraffe_11g_all-cols,1,27,12,0.07803468208092486,0.03468208092485549,0.13705583756345177,0.06091370558375635
sub-3300001,tulips_11g_all-cols,0,43,9,0.13312693498452013,0.02786377708978328,0.22164948453608246,0.04639175257731959
sub-3300001,roses_11g_all-cols,0,43,16,0.14144736842105263,0.05263157894736842,0.2388888888888889,0.08888888888888889
sub-3300001,cars_11g_all-cols,1,31,11,0.09090909090909091,0.03225806451612903,0.15897435897435896,0.05641025641025641
sub-3300001,muffins_11g_all-cols,1,52,7,0.13756613756613756,0.018518518518518517,0.25120772946859904,0.033816425120772944
sub-3300001,blackberries_11g_all-cols,1,22,6,0.06984126984126984,0.01904761904761905,0.12571428571428572,0.03428571428571429
sub-3300001,trucks_11g_all-cols,1,42,19,0.12209302325581395,0.055232558139534885,0.21649484536082475,0.0979381443298969
sub-3300001,cupcakes_11g_all-cols,1,45,13,0.12396694214876033,0.03581267217630854,0.225,0.065
sub-3300001,sandals_11g_all-cols,0,105,8,0.30434782608695654,0.02318840579710145,0.5357142857142857,0.04081632653061224
sub-3300001,pens_11g_all-cols,0,30,6,0.09375,0.01875,0.16216216216216217,0.032432432432432434
sub-3300001,pine_11g_all-cols,1,69,12,0.21362229102167182,0.03715170278637771,0.35751295336787564,0.06217616580310881
sub-3300001,pencils_11g_all-cols,0,35,14,0.10736196319018405,0.04294478527607362,0.18324607329842932,0.07329842931937172
sub-3300002,tulips_11g_all-cols,1,17,17,0.05263157894736842,0.05263157894736842,0.08762886597938144,0.08762886597938144
sub-3300002,cupcakes_11g_all-cols,0,11,16,0.030303030303030304,0.0440771349862259,0.055,0.08
sub-3300002,oak_11g_all-cols,1,10,14,0.03125,0.04375,0.052083333333333336,0.07291666666666667
sub-3300002,trucks_11g_all-cols,1,17,6,0.04941860465116279,0.01744186046511628,0.08762886597938144,0.030927835051546393
sub-3300002,sandals_11g_all-cols,1,17,12,0.04927536231884058,0.034782608695652174,0.08673469387755102,0.061224489795918366
sub-3300002,blackberries_11g_all-cols,1,10,9,0.031746031746031744,0.02857142857142857,0.05714285714285714,0.05142857142857143
sub-3300002,pine_11g_all-cols,0,19,13,0.058823529411764705,0.04024767801857585,0.09844559585492228,0.06735751295336788
sub-3300002,roses_11g_all-cols,1,16,11,0.05263157894736842,0.03618421052631579,0.08888888888888889,0.06111111111111111
sub-3300002,sparrows_11g_all-cols,0,15,8,0.045317220543806644,0.02416918429003021,0.08108108108108109,0.043243243243243246
sub-3300002,giraffe_11g_all-cols,1,12,7,0.03468208092485549,0.02023121387283237,0.06091370558375635,0.03553299492385787
sub-3300002,pens_11g_all-cols,0,11,8,0.034375,0.025,0.05945945945945946,0.043243243243243246
sub-3300002,muffins_11g_all-cols,0,20,7,0.05291005291005291,0.018518518518518517,0.0966183574879227,0.033816425120772944
sub-3300002,elephant_11g_all-cols,1,13,11,0.03757225433526012,0.031791907514450865,0.06565656565656566,0.05555555555555555
sub-3300002,raspberries_11g_all-cols,1,30,12,0.08797653958944282,0.03519061583577713,0.15706806282722513,0.06282722513089005
sub-3300002,finches_11g_all-cols,0,19,14,0.05993690851735016,0.04416403785488959,0.10614525139664804,0.0782122905027933
sub-3300002,cars_11g_all-cols,1,16,11,0.0469208211143695,0.03225806451612903,0.08205128205128205,0.05641025641025641
sub-3300002,boots_11g_all-cols,1,23,7,0.06534090909090909,0.019886363636363636,0.115,0.035
sub-3300002,pencils_11g_all-cols,0,14,16,0.04294478527607362,0.049079754601226995,0.07329842931937172,0.08376963350785341
sub-3300003,blackberries_9g_all-cols,1,8,9,0.02666666666666667,0.03,0.046242774566473986,0.05202312138728324
sub-3300003,trucks_9g_all-cols,1,39,7,0.11711711711711711,0.021021021021021023,0.19696969696969696,0.03535353535353535
sub-3300003,sandals_9g_all-cols,0,13,10,0.037900874635568516,0.029154518950437316,0.06532663316582915,0.05025125628140704
sub-3300003,pens_9g_all-cols,1,17,5,0.057432432432432436,0.016891891891891893,0.08947368421052632,0.02631578947368421
sub-3300003,tulips_9g_all-cols,0,14,3,0.04827586206896552,0.010344827586206896,0.07291666666666667,0.015625
sub-3300003,oak_9g_all-cols,0,15,8,0.04983388704318937,0.026578073089700997,0.07692307692307693,0.041025641025641026
sub-3300003,muffins_9g_all-cols,0,20,7,0.05509641873278237,0.01928374655647383,0.0947867298578199,0.03317535545023697
sub-3300003,cars_9g_all-cols,1,15,13,0.04411764705882353,0.03823529411764706,0.07425742574257425,0.06435643564356436
sub-3300003,finches_9g_all-cols,1,13,10,0.04318936877076412,0.03322259136212625,0.07303370786516854,0.056179775280898875
sub-3300003,elephants_9g_all-cols,0,19,10,0.053824362606232294,0.028328611898016998,0.09134615384615384,0.04807692307692308
sub-3300003,cupcakes_9g_all-cols,1,16,4,0.04664723032069971,0.011661807580174927,0.07881773399014778,0.019704433497536946
sub-3300003,sparrows_9g_all-cols,1,18,13,0.058823529411764705,0.042483660130718956,0.10227272727272728,0.07386363636363637
sub-3300003,raspberries_9g_all-cols,1,19,4,0.06070287539936102,0.012779552715654952,0.10674157303370786,0.02247191011235955
sub-3300003,boots_9g_all-cols,0,36,11,0.10434782608695652,0.03188405797101449,0.17647058823529413,0.05392156862745098
sub-3300003,giraffe_9g_all-cols,1,17,7,0.047619047619047616,0.0196078431372549,0.08133971291866028,0.03349282296650718
sub-3300003,roses_9g_all-cols,0,13,12,0.045774647887323945,0.04225352112676056,0.07142857142857142,0.06593406593406594
sub-3300003,pine_9g_all-cols,0,15,5,0.05016722408026756,0.016722408026755852,0.07894736842105263,0.02631578947368421
sub-3300003,pencils_9g_all-cols,1,12,5,0.03986710963455149,0.016611295681063124,0.06382978723404255,0.026595744680851064
sub-3300004,elephant_11g_all-cols,1,26,15,0.07514450867052024,0.04335260115606936,0.13131313131313133,0.07575757575757576
sub-3300004,raspberries_11g_all-cols,1,16,15,0.0469208211143695,0.04398826979472141,0.08376963350785341,0.07853403141361257
sub-3300004,sandals_11g_all-cols,1,26,20,0.07536231884057971,0.057971014492753624,0.1326530612244898,0.10204081632653061
